run 20260819-225537-ea9b8a: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260819-225607-70d5ec: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260819-230831-a23a5c: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 22; mode 644 -> 600
run 20260819-230850-9726f6: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 21; mode 644 -> 600
run 20260819-234739-e2e00e: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260819-235151-a3e00a: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260820-130042-28eca7: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 61; mode 644 -> 600
run 20260820-175841-20d068: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 24; mode 644 -> 600
run 20260820-175844-afcbe7: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 24; mode 644 -> 600
run 20260820-180710-694dd7: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 24; mode 644 -> 600
run 20260820-204749-443c7d: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260821-071202-294980: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260821-081934-4b2a53: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 12; mode 644 -> 600
run 20260821-104604-efdea5: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260901-205911-d66e37: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260901-210147-dec9d4: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260901-210236-2d791a: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 183; mode 644 -> 600
run 20260901-210300-edca03: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 183; mode 644 -> 600
run 20260901-210520-7f8854: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 183; mode 644 -> 600
run 20260903-101136-eea51c: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260903-101152-371a81: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
